case_id,action_type,action_detail,status
RC00000262,Manual review,Review USD 3111.90 transaction before release.,recommended
RC00000262,Write risk note,Persist cluster_RING_162 as an elevated-risk signal.,recommended
RC00000263,Manual review,Review USD 2600.00 transaction before release.,recommended
RC00000263,Write risk note,Persist cluster_RING_163 as an elevated-risk signal.,recommended
RC00000264,Manual review,Review USD 2538.80 transaction before release.,recommended
RC00000264,Write risk note,Persist cluster_RING_164 as an elevated-risk signal.,recommended
RC00000265,Manual review,Review USD 708.90 transaction before release.,recommended
RC00000265,Write risk note,Persist cluster_RING_165 as an elevated-risk signal.,recommended
RC00000266,Manual review,Review USD 4627.80 transaction before release.,recommended
RC00000266,Write risk note,Persist cluster_RING_166 as an elevated-risk signal.,recommended
RC00000267,Hold transaction,Keep USD 9340.00 held pending fraud-ops review.,recommended
RC00000267,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000267,Write pattern memory,Persist cluster_RING_167 as a future recall signal.,recommended
RC00000268,Manual review,Review USD 4050.00 transaction before release.,recommended
RC00000268,Write risk note,Persist cluster_RING_168 as an elevated-risk signal.,recommended
RC00000269,Manual review,Review USD 3684.80 transaction before release.,recommended
RC00000269,Write risk note,Persist cluster_RING_169 as an elevated-risk signal.,recommended
RC00000270,Hold transaction,Keep USD 16640.00 held pending fraud-ops review.,recommended
RC00000270,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000270,Write pattern memory,Persist cluster_RING_170 as a future recall signal.,recommended
RC00000271,Manual review,Review USD 3398.90 transaction before release.,recommended
RC00000271,Write risk note,Persist cluster_RING_171 as an elevated-risk signal.,recommended
RC00000272,Manual review,Review USD 2846.80 transaction before release.,recommended
RC00000272,Write risk note,Persist cluster_RING_172 as an elevated-risk signal.,recommended
RC00000273,Manual review,Review USD 1065.90 transaction before release.,recommended
RC00000273,Write risk note,Persist cluster_RING_173 as an elevated-risk signal.,recommended
RC00000274,Manual review,Review USD 1225.80 transaction before release.,recommended
RC00000274,Write risk note,Persist cluster_RING_174 as an elevated-risk signal.,recommended
RC00000275,Hold transaction,Keep USD 3040.00 held pending fraud-ops review.,recommended
RC00000275,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000275,Write pattern memory,Persist cluster_RING_175 as a future recall signal.,recommended
RC00000276,Manual review,Review USD 5670.00 transaction before release.,recommended
RC00000276,Write risk note,Persist cluster_RING_176 as an elevated-risk signal.,recommended
RC00000277,Manual review,Review USD 597.80 transaction before release.,recommended
RC00000277,Write risk note,Persist cluster_RING_177 as an elevated-risk signal.,recommended
RC00000278,Hold transaction,Keep USD 25480.00 held pending fraud-ops review.,recommended
RC00000278,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000278,Write pattern memory,Persist cluster_RING_178 as a future recall signal.,recommended
RC00000279,Manual review,Review USD 815.90 transaction before release.,recommended
RC00000279,Write risk note,Persist cluster_RING_179 as an elevated-risk signal.,recommended
RC00000280,Manual review,Review USD 2442.90 transaction before release.,recommended
RC00000280,Write risk note,Persist cluster_RING_180 as an elevated-risk signal.,recommended
RC00000281,Manual review,Review USD 2390.80 transaction before release.,recommended
RC00000281,Write risk note,Persist cluster_RING_181 as an elevated-risk signal.,recommended
RC00000282,Manual review,Review USD 1603.80 transaction before release.,recommended
RC00000282,Write risk note,Persist cluster_RING_182 as an elevated-risk signal.,recommended
RC00000283,Hold transaction,Keep USD 3740.00 held pending fraud-ops review.,recommended
RC00000283,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000283,Write pattern memory,Persist cluster_RING_183 as a future recall signal.,recommended
RC00000284,Manual review,Review USD 690.00 transaction before release.,recommended
RC00000284,Write risk note,Persist cluster_RING_184 as an elevated-risk signal.,recommended
RC00000285,Manual review,Review USD 940.80 transaction before release.,recommended
RC00000285,Write risk note,Persist cluster_RING_185 as an elevated-risk signal.,recommended
RC00000286,Manual review,Review USD 1102.90 transaction before release.,recommended
RC00000286,Write risk note,Persist cluster_RING_186 as an elevated-risk signal.,recommended
RC00000287,Manual review,Review USD 2799.90 transaction before release.,recommended
RC00000287,Write risk note,Persist cluster_RING_187 as an elevated-risk signal.,recommended
RC00000288,Manual review,Review USD 2691.80 transaction before release.,recommended
RC00000288,Write risk note,Persist cluster_RING_188 as an elevated-risk signal.,recommended
RC00000289,Manual review,Review USD 3061.80 transaction before release.,recommended
RC00000289,Write risk note,Persist cluster_RING_189 as an elevated-risk signal.,recommended
RC00000290,Hold transaction,Keep USD 6440.00 held pending fraud-ops review.,recommended
RC00000290,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000290,Write pattern memory,Persist cluster_RING_190 as a future recall signal.,recommended
RC00000291,Manual review,Review USD 2263.80 transaction before release.,recommended
RC00000291,Write risk note,Persist cluster_RING_191 as an elevated-risk signal.,recommended
RC00000292,Manual review,Review USD 2209.90 transaction before release.,recommended
RC00000292,Write risk note,Persist cluster_RING_192 as an elevated-risk signal.,recommended
RC00000293,Manual review,Review USD 5174.40 transaction before release.,recommended
RC00000293,Write risk note,Persist cluster_RING_193 as an elevated-risk signal.,recommended
RC00000294,Manual review,Review USD 4176.90 transaction before release.,recommended
RC00000294,Write risk note,Persist cluster_RING_194 as an elevated-risk signal.,recommended
RC00000295,Manual review,Review USD 3852.80 transaction before release.,recommended
RC00000295,Write risk note,Persist cluster_RING_195 as an elevated-risk signal.,recommended
RC00000296,Hold transaction,Keep USD 8757.00 held pending fraud-ops review.,recommended
RC00000296,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000296,Write pattern memory,Persist cluster_RING_196 as a future recall signal.,recommended
RC00000297,Manual review,Review USD 3439.80 transaction before release.,recommended
RC00000297,Write risk note,Persist cluster_RING_197 as an elevated-risk signal.,recommended
RC00000298,Manual review,Review USD 6336.00 transaction before release.,recommended
RC00000298,Write risk note,Persist cluster_RING_198 as an elevated-risk signal.,recommended
RC00000299,Hold transaction,Keep USD 7140.00 held pending fraud-ops review.,recommended
RC00000299,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000299,Write pattern memory,Persist cluster_RING_199 as a future recall signal.,recommended
RC00000300,Manual review,Review USD 2606.80 transaction before release.,recommended
RC00000300,Write risk note,Persist cluster_RING_140 as an elevated-risk signal.,recommended
RC00000301,Manual review,Review USD 2496.90 transaction before release.,recommended
RC00000301,Write risk note,Persist cluster_RING_141 as an elevated-risk signal.,recommended
RC00000302,Manual review,Review USD 5566.40 transaction before release.,recommended
RC00000302,Write risk note,Persist cluster_RING_142 as an elevated-risk signal.,recommended
RC00000303,Manual review,Review USD 4533.90 transaction before release.,recommended
RC00000303,Write risk note,Persist cluster_RING_143 as an elevated-risk signal.,recommended
RC00000304,Manual review,Review USD 4153.80 transaction before release.,recommended
RC00000304,Write risk note,Persist cluster_RING_144 as an elevated-risk signal.,recommended
RC00000305,Hold transaction,Keep USD 1287.00 held pending fraud-ops review.,recommended
RC00000305,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000305,Write pattern memory,Persist cluster_RING_145 as a future recall signal.,recommended
RC00000306,Manual review,Review USD 4897.80 transaction before release.,recommended
RC00000306,Write risk note,Persist cluster_RING_146 as an elevated-risk signal.,recommended
RC00000307,Hold transaction,Keep USD 12440.00 held pending fraud-ops review.,recommended
RC00000307,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000307,Write pattern memory,Persist cluster_RING_147 as a future recall signal.,recommended
RC00000308,Hold transaction,Keep USD 9840.00 held pending fraud-ops review.,recommended
RC00000308,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000308,Write pattern memory,Persist cluster_RING_148 as a future recall signal.,recommended
RC00000309,Manual review,Review USD 3603.90 transaction before release.,recommended
RC00000309,Write risk note,Persist cluster_RING_149 as an elevated-risk signal.,recommended
RC00000310,Manual review,Review USD 2038.40 transaction before release.,recommended
RC00000310,Write risk note,Persist cluster_RING_150 as an elevated-risk signal.,recommended
RC00000311,Manual review,Review USD 2116.80 transaction before release.,recommended
RC00000311,Write risk note,Persist cluster_RING_151 as an elevated-risk signal.,recommended
RC00000312,Manual review,Review USD 1320.90 transaction before release.,recommended
RC00000312,Write risk note,Persist cluster_RING_152 as an elevated-risk signal.,recommended
RC00000313,Manual review,Review USD 1444.80 transaction before release.,recommended
RC00000313,Write risk note,Persist cluster_RING_153 as an elevated-risk signal.,recommended
RC00000314,Hold transaction,Keep USD 3717.00 held pending fraud-ops review.,recommended
RC00000314,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000314,Write pattern memory,Persist cluster_RING_154 as a future recall signal.,recommended
RC00000315,Manual review,Review USD 5275.80 transaction before release.,recommended
RC00000315,Write risk note,Persist cluster_RING_155 as an elevated-risk signal.,recommended
RC00000316,Hold transaction,Keep USD 1540.00 held pending fraud-ops review.,recommended
RC00000316,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000316,Write pattern memory,Persist cluster_RING_156 as a future recall signal.,recommended
RC00000317,Manual review,Review USD 3890.90 transaction before release.,recommended
RC00000317,Write risk note,Persist cluster_RING_157 as an elevated-risk signal.,recommended
RC00000318,Manual review,Review USD 2430.40 transaction before release.,recommended
RC00000318,Write risk note,Persist cluster_RING_158 as an elevated-risk signal.,recommended
RC00000319,Manual review,Review USD 2452.80 transaction before release.,recommended
RC00000319,Write risk note,Persist cluster_RING_159 as an elevated-risk signal.,recommended
RC00000320,Manual review,Review USD 1677.90 transaction before release.,recommended
RC00000320,Write risk note,Persist cluster_RING_160 as an elevated-risk signal.,recommended
RC00000321,Manual review,Review USD 1745.80 transaction before release.,recommended
RC00000321,Write risk note,Persist cluster_RING_161 as an elevated-risk signal.,recommended
RC00000322,Hold transaction,Keep USD 4347.00 held pending fraud-ops review.,recommended
RC00000322,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000322,Write pattern memory,Persist cluster_RING_162 as a future recall signal.,recommended
RC00000323,Manual review,Review USD 1873.80 transaction before release.,recommended
RC00000323,Write risk note,Persist cluster_RING_163 as an elevated-risk signal.,recommended
RC00000324,Hold transaction,Keep USD 4240.00 held pending fraud-ops review.,recommended
RC00000324,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000324,Write pattern memory,Persist cluster_RING_164 as a future recall signal.,recommended
RC00000325,Manual review,Review USD 3942.40 transaction before release.,recommended
RC00000325,Write risk note,Persist cluster_RING_165 as an elevated-risk signal.,recommended
RC00000326,Manual review,Review USD 3748.80 transaction before release.,recommended
RC00000326,Write risk note,Persist cluster_RING_166 as an elevated-risk signal.,recommended
RC00000327,Hold transaction,Keep USD 21208.00 held pending fraud-ops review.,recommended
RC00000327,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000327,Write pattern memory,Persist cluster_RING_167 as a future recall signal.,recommended
RC00000328,Manual review,Review USD 3054.90 transaction before release.,recommended
RC00000328,Write risk note,Persist cluster_RING_168 as an elevated-risk signal.,recommended
RC00000329,Manual review,Review USD 2906.80 transaction before release.,recommended
RC00000329,Write risk note,Persist cluster_RING_169 as an elevated-risk signal.,recommended
RC00000330,Hold transaction,Keep USD 6777.00 held pending fraud-ops review.,recommended
RC00000330,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000330,Write pattern memory,Persist cluster_RING_170 as a future recall signal.,recommended
RC00000331,Hold transaction,Keep USD 4940.00 held pending fraud-ops review.,recommended
RC00000331,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000331,Write pattern memory,Persist cluster_RING_171 as a future recall signal.,recommended
RC00000332,Manual review,Review USD 5066.80 transaction before release.,recommended
RC00000332,Write risk note,Persist cluster_RING_172 as an elevated-risk signal.,recommended
RC00000333,Manual review,Review USD 4334.40 transaction before release.,recommended
RC00000333,Write risk note,Persist cluster_RING_173 as an elevated-risk signal.,recommended
RC00000334,Manual review,Review USD 4084.80 transaction before release.,recommended
RC00000334,Write risk note,Persist cluster_RING_174 as an elevated-risk signal.,recommended
RC00000335,Manual review,Review USD 3411.90 transaction before release.,recommended
RC00000335,Write risk note,Persist cluster_RING_175 as an elevated-risk signal.,recommended
RC00000336,Manual review,Review USD 3207.80 transaction before release.,recommended
RC00000336,Write risk note,Persist cluster_RING_176 as an elevated-risk signal.,recommended
RC00000337,Hold transaction,Keep USD 7407.00 held pending fraud-ops review.,recommended
RC00000337,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000337,Write pattern memory,Persist cluster_RING_177 as a future recall signal.,recommended
RC00000338,Hold transaction,Keep USD 7640.00 held pending fraud-ops review.,recommended
RC00000338,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000338,Write pattern memory,Persist cluster_RING_178 as a future recall signal.,recommended
RC00000339,Manual review,Review USD 1727.80 transaction before release.,recommended
RC00000339,Write risk note,Persist cluster_RING_179 as an elevated-risk signal.,recommended
RC00000340,Manual review,Review USD 806.40 transaction before release.,recommended
RC00000340,Write risk note,Persist cluster_RING_180 as an elevated-risk signal.,recommended
RC00000341,Manual review,Review USD 1060.80 transaction before release.,recommended
RC00000341,Write risk note,Persist cluster_RING_181 as an elevated-risk signal.,recommended
RC00000342,Manual review,Review USD 4788.90 transaction before release.,recommended
RC00000342,Write risk note,Persist cluster_RING_182 as an elevated-risk signal.,recommended
RC00000343,Manual review,Review USD 498.80 transaction before release.,recommended
RC00000343,Write risk note,Persist cluster_RING_183 as an elevated-risk signal.,recommended
RC00000344,Hold transaction,Keep USD 1737.00 held pending fraud-ops review.,recommended
RC00000344,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000344,Write pattern memory,Persist cluster_RING_184 as a future recall signal.,recommended
RC00000345,Manual review,Review USD 2098.80 transaction before release.,recommended
RC00000345,Write risk note,Persist cluster_RING_185 as an elevated-risk signal.,recommended
RC00000346,Manual review,Review USD 2128.50 transaction before release.,recommended
RC00000346,Write risk note,Persist cluster_RING_186 as an elevated-risk signal.,recommended
RC00000347,Manual review,Review USD 1198.40 transaction before release.,recommended
RC00000347,Write risk note,Persist cluster_RING_187 as an elevated-risk signal.,recommended
RC00000348,Manual review,Review USD 1396.80 transaction before release.,recommended
RC00000348,Write risk note,Persist cluster_RING_188 as an elevated-risk signal.,recommended
RC00000349,Hold transaction,Keep USD 4176.00 held pending fraud-ops review.,recommended
RC00000349,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000349,Write pattern memory,Persist cluster_RING_189 as a future recall signal.,recommended
RC00000350,Manual review,Review USD 555.90 transaction before release.,recommended
RC00000350,Write risk note,Persist cluster_RING_190 as an elevated-risk signal.,recommended
RC00000351,Manual review,Review USD 799.80 transaction before release.,recommended
RC00000351,Write risk note,Persist cluster_RING_191 as an elevated-risk signal.,recommended
RC00000352,Hold transaction,Keep USD 2367.00 held pending fraud-ops review.,recommended
RC00000352,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000352,Write pattern memory,Persist cluster_RING_192 as a future recall signal.,recommended
RC00000353,Manual review,Review USD 3529.80 transaction before release.,recommended
RC00000353,Write risk note,Persist cluster_RING_193 as an elevated-risk signal.,recommended
RC00000354,Manual review,Review USD 3343.50 transaction before release.,recommended
RC00000354,Write risk note,Persist cluster_RING_194 as an elevated-risk signal.,recommended
RC00000355,Manual review,Review USD 2710.40 transaction before release.,recommended
RC00000355,Write risk note,Persist cluster_RING_195 as an elevated-risk signal.,recommended
RC00000356,Manual review,Review USD 2692.80 transaction before release.,recommended
RC00000356,Write risk note,Persist cluster_RING_196 as an elevated-risk signal.,recommended
RC00000357,Hold transaction,Keep USD 6336.00 held pending fraud-ops review.,recommended
RC00000357,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000357,Write pattern memory,Persist cluster_RING_197 as a future recall signal.,recommended
RC00000358,Manual review,Review USD 1932.90 transaction before release.,recommended
RC00000358,Write risk note,Persist cluster_RING_198 as an elevated-risk signal.,recommended
RC00000359,Manual review,Review USD 1960.80 transaction before release.,recommended
RC00000359,Write risk note,Persist cluster_RING_199 as an elevated-risk signal.,recommended
RC00000360,Hold transaction,Keep USD 4797.00 held pending fraud-ops review.,recommended
RC00000360,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000360,Write pattern memory,Persist cluster_RING_140 as a future recall signal.,recommended
RC00000361,Manual review,Review USD 3900.80 transaction before release.,recommended
RC00000361,Write risk note,Persist cluster_RING_141 as an elevated-risk signal.,recommended
RC00000362,Manual review,Review USD 3658.50 transaction before release.,recommended
RC00000362,Write risk note,Persist cluster_RING_142 as an elevated-risk signal.,recommended
RC00000363,Manual review,Review USD 3102.40 transaction before release.,recommended
RC00000363,Write risk note,Persist cluster_RING_143 as an elevated-risk signal.,recommended
RC00000364,Manual review,Review USD 3028.80 transaction before release.,recommended
RC00000364,Write risk note,Persist cluster_RING_144 as an elevated-risk signal.,recommended
RC00000365,Hold transaction,Keep USD 6896.00 held pending fraud-ops review.,recommended
RC00000365,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000365,Write pattern memory,Persist cluster_RING_145 as a future recall signal.,recommended
RC00000366,Manual review,Review USD 2289.90 transaction before release.,recommended
RC00000366,Write risk note,Persist cluster_RING_146 as an elevated-risk signal.,recommended
RC00000367,Manual review,Review USD 2261.80 transaction before release.,recommended
RC00000367,Write risk note,Persist cluster_RING_147 as an elevated-risk signal.,recommended
RC00000368,Hold transaction,Keep USD 5427.00 held pending fraud-ops review.,recommended
RC00000368,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000368,Write pattern memory,Persist cluster_RING_148 as a future recall signal.,recommended
RC00000369,Manual review,Review USD 561.80 transaction before release.,recommended
RC00000369,Write risk note,Persist cluster_RING_149 as an elevated-risk signal.,recommended
RC00000370,Manual review,Review USD 823.50 transaction before release.,recommended
RC00000370,Write risk note,Persist cluster_RING_150 as an elevated-risk signal.,recommended
RC00000371,Manual review,Review USD 4614.40 transaction before release.,recommended
RC00000371,Write risk note,Persist cluster_RING_151 as an elevated-risk signal.,recommended
RC00000372,Manual review,Review USD 4324.80 transaction before release.,recommended
RC00000372,Write risk note,Persist cluster_RING_152 as an elevated-risk signal.,recommended
RC00000373,Hold transaction,Keep USD 1856.00 held pending fraud-ops review.,recommended
RC00000373,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000373,Write pattern memory,Persist cluster_RING_153 as a future recall signal.,recommended
RC00000374,Manual review,Review USD 3422.80 transaction before release.,recommended
RC00000374,Write risk note,Persist cluster_RING_154 as an elevated-risk signal.,recommended
RC00000375,Hold transaction,Keep USD 7857.00 held pending fraud-ops review.,recommended
RC00000375,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000375,Write pattern memory,Persist cluster_RING_155 as a future recall signal.,recommended
RC00000376,Manual review,Review USD 1790.00 transaction before release.,recommended
RC00000376,Write risk note,Persist cluster_RING_156 as an elevated-risk signal.,recommended
RC00000377,Manual review,Review USD 932.80 transaction before release.,recommended
RC00000377,Write risk note,Persist cluster_RING_157 as an elevated-risk signal.,recommended
RC00000378,Manual review,Review USD 1138.50 transaction before release.,recommended
RC00000378,Write risk note,Persist cluster_RING_158 as an elevated-risk signal.,recommended
RC00000379,Manual review,Review USD 5006.40 transaction before release.,recommended
RC00000379,Write risk note,Persist cluster_RING_159 as an elevated-risk signal.,recommended
RC00000380,Manual review,Review USD 4660.80 transaction before release.,recommended
RC00000380,Write risk note,Persist cluster_RING_160 as an elevated-risk signal.,recommended
RC00000381,Hold transaction,Keep USD 2416.00 held pending fraud-ops review.,recommended
RC00000381,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000381,Write pattern memory,Persist cluster_RING_161 as a future recall signal.,recommended
RC00000382,Manual review,Review USD 3723.80 transaction before release.,recommended
RC00000382,Write risk note,Persist cluster_RING_162 as an elevated-risk signal.,recommended
RC00000383,Hold transaction,Keep USD 8487.00 held pending fraud-ops review.,recommended
RC00000383,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000383,Write pattern memory,Persist cluster_RING_163 as a future recall signal.,recommended
RC00000384,Manual review,Review USD 3140.00 transaction before release.,recommended
RC00000384,Write risk note,Persist cluster_RING_164 as an elevated-risk signal.,recommended
RC00000385,Manual review,Review USD 2961.00 transaction before release.,recommended
RC00000385,Write risk note,Persist cluster_RING_165 as an elevated-risk signal.,recommended
RC00000386,Manual review,Review USD 2363.80 transaction before release.,recommended
RC00000386,Write risk note,Persist cluster_RING_166 as an elevated-risk signal.,recommended
RC00000387,Manual review,Review USD 2353.50 transaction before release.,recommended
RC00000387,Write risk note,Persist cluster_RING_167 as an elevated-risk signal.,recommended
RC00000388,Manual review,Review USD 1478.40 transaction before release.,recommended
RC00000388,Write risk note,Persist cluster_RING_168 as an elevated-risk signal.,recommended
RC00000389,Manual review,Review USD 1636.80 transaction before release.,recommended
RC00000389,Write risk note,Persist cluster_RING_169 as an elevated-risk signal.,recommended
RC00000390,Hold transaction,Keep USD 4576.00 held pending fraud-ops review.,recommended
RC00000390,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000390,Write pattern memory,Persist cluster_RING_170 as a future recall signal.,recommended
RC00000391,Hold transaction,Keep USD 2817.00 held pending fraud-ops review.,recommended
RC00000391,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000391,Write pattern memory,Persist cluster_RING_171 as a future recall signal.,recommended
RC00000392,Hold transaction,Keep USD 20976.00 held pending fraud-ops review.,recommended
RC00000392,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000392,Write pattern memory,Persist cluster_RING_172 as a future recall signal.,recommended
RC00000393,Manual review,Review USD 3490.00 transaction before release.,recommended
RC00000393,Write risk note,Persist cluster_RING_173 as an elevated-risk signal.,recommended
RC00000394,Manual review,Review USD 3255.00 transaction before release.,recommended
RC00000394,Write risk note,Persist cluster_RING_174 as an elevated-risk signal.,recommended
RC00000395,Manual review,Review USD 2734.80 transaction before release.,recommended
RC00000395,Write risk note,Persist cluster_RING_175 as an elevated-risk signal.,recommended
RC00000396,Manual review,Review USD 2668.50 transaction before release.,recommended
RC00000396,Write risk note,Persist cluster_RING_176 as an elevated-risk signal.,recommended
RC00000397,Manual review,Review USD 1972.80 transaction before release.,recommended
RC00000397,Write risk note,Persist cluster_RING_177 as an elevated-risk signal.,recommended
RC00000398,Hold transaction,Keep USD 5136.00 held pending fraud-ops review.,recommended
RC00000398,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000398,Write pattern memory,Persist cluster_RING_178 as a future recall signal.,recommended
RC00000399,Manual review,Review USD 4801.50 transaction before release.,recommended
RC00000399,Write risk note,Persist cluster_RING_179 as an elevated-risk signal.,recommended
RC00000400,Hold transaction,Keep USD 3447.00 held pending fraud-ops review.,recommended
RC00000400,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000400,Write pattern memory,Persist cluster_RING_180 as a future recall signal.,recommended
RC00000401,Manual review,Review USD 4840.00 transaction before release.,recommended
RC00000401,Write risk note,Persist cluster_RING_181 as an elevated-risk signal.,recommended
RC00000402,Manual review,Review USD 609.00 transaction before release.,recommended
RC00000402,Write risk note,Persist cluster_RING_182 as an elevated-risk signal.,recommended
RC00000403,Manual review,Review USD 4165.80 transaction before release.,recommended
RC00000403,Write risk note,Persist cluster_RING_183 as an elevated-risk signal.,recommended
RC00000404,Manual review,Review USD 3883.50 transaction before release.,recommended
RC00000404,Write risk note,Persist cluster_RING_184 as an elevated-risk signal.,recommended
RC00000405,Manual review,Review USD 3268.80 transaction before release.,recommended
RC00000405,Write risk note,Persist cluster_RING_185 as an elevated-risk signal.,recommended
RC00000406,Hold transaction,Keep USD 7296.00 held pending fraud-ops review.,recommended
RC00000406,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000406,Write pattern memory,Persist cluster_RING_186 as a future recall signal.,recommended
RC00000407,Manual review,Review USD 1336.50 transaction before release.,recommended
RC00000407,Write risk note,Persist cluster_RING_187 as an elevated-risk signal.,recommended
RC00000408,Manual review,Review USD 690.00 transaction before release.,recommended
RC00000408,Write risk note,Persist cluster_RING_188 as an elevated-risk signal.,recommended
RC00000409,Manual review,Review USD 903.00 transaction before release.,recommended
RC00000409,Write risk note,Persist cluster_RING_189 as an elevated-risk signal.,recommended
RC00000410,Manual review,Review USD 4536.80 transaction before release.,recommended
RC00000410,Write risk note,Persist cluster_RING_190 as an elevated-risk signal.,recommended
RC00000411,Manual review,Review USD 4198.50 transaction before release.,recommended
RC00000411,Write risk note,Persist cluster_RING_191 as an elevated-risk signal.,recommended
RC00000412,Manual review,Review USD 2387.00 transaction before release.,recommended
RC00000412,Write risk note,Persist cluster_RING_192 as an elevated-risk signal.,recommended
RC00000413,Hold transaction,Keep USD 7856.00 held pending fraud-ops review.,recommended
RC00000413,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000413,Write pattern memory,Persist cluster_RING_193 as a future recall signal.,recommended
RC00000414,Hold transaction,Keep USD 8216.00 held pending fraud-ops review.,recommended
RC00000414,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000414,Write pattern memory,Persist cluster_RING_194 as a future recall signal.,recommended
RC00000415,Manual review,Review USD 1721.50 transaction before release.,recommended
RC00000415,Write risk note,Persist cluster_RING_195 as an elevated-risk signal.,recommended
RC00000416,Manual review,Review USD 1833.00 transaction before release.,recommended
RC00000416,Write risk note,Persist cluster_RING_196 as an elevated-risk signal.,recommended
RC00000417,Manual review,Review USD 2040.00 transaction before release.,recommended
RC00000417,Write risk note,Persist cluster_RING_197 as an elevated-risk signal.,recommended
RC00000418,Manual review,Review USD 2037.00 transaction before release.,recommended
RC00000418,Write risk note,Persist cluster_RING_198 as an elevated-risk signal.,recommended
RC00000419,Manual review,Review USD 1197.80 transaction before release.,recommended
RC00000419,Write risk note,Persist cluster_RING_199 as an elevated-risk signal.,recommended
RC00000420,Manual review,Review USD 1363.50 transaction before release.,recommended
RC00000420,Write risk note,Persist cluster_RING_140 as an elevated-risk signal.,recommended
RC00000421,Manual review,Review USD 4277.00 transaction before release.,recommended
RC00000421,Write risk note,Persist cluster_RING_141 as an elevated-risk signal.,recommended
RC00000422,Hold transaction,Keep USD 2816.00 held pending fraud-ops review.,recommended
RC00000422,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000422,Write pattern memory,Persist cluster_RING_142 as a future recall signal.,recommended
RC00000423,Hold transaction,Keep USD 16408.00 held pending fraud-ops review.,recommended
RC00000423,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000423,Write pattern memory,Persist cluster_RING_143 as a future recall signal.,recommended
RC00000424,Manual review,Review USD 3206.50 transaction before release.,recommended
RC00000424,Write risk note,Persist cluster_RING_144 as an elevated-risk signal.,recommended
RC00000425,Manual review,Review USD 3102.00 transaction before release.,recommended
RC00000425,Write risk note,Persist cluster_RING_145 as an elevated-risk signal.,recommended
RC00000426,Manual review,Review USD 2390.00 transaction before release.,recommended
RC00000426,Write risk note,Persist cluster_RING_146 as an elevated-risk signal.,recommended
RC00000427,Manual review,Review USD 2331.00 transaction before release.,recommended
RC00000427,Write risk note,Persist cluster_RING_147 as an elevated-risk signal.,recommended
RC00000428,Manual review,Review USD 1568.80 transaction before release.,recommended
RC00000428,Write risk note,Persist cluster_RING_148 as an elevated-risk signal.,recommended
RC00000429,Manual review,Review USD 1678.50 transaction before release.,recommended
RC00000429,Write risk note,Persist cluster_RING_149 as an elevated-risk signal.,recommended
RC00000430,Manual review,Review USD 4767.00 transaction before release.,recommended
RC00000430,Write risk note,Persist cluster_RING_150 as an elevated-risk signal.,recommended
RC00000431,Hold transaction,Keep USD 3376.00 held pending fraud-ops review.,recommended
RC00000431,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
